username,channel,message
zay_ih,#jinnytty,YUMPIES
kodeej,#jinnytty,moms spaghetti
wittleplushy,#loltyler1,Pog
hahhaahaxd,#loltyler1,!op.gg
fossabot,#loltyler1,@hahhaahaxd https://www.op.gg/summoners/kr/BIG%20TONKA%20T
dam________,#jinnytty,YUMPIES do it
madcroczz1,#jinnytty,WOWERS
kasperpie0414,#jinnytty,cracking
mfkrtoblank,#jinnytty,crack sound
happyfluffyteddy,#jinnytty,jump YUMPIES
justeetuu,#jinnytty,Jump jinny jump!!!!
aahniky,#jinnytty,YOLO quqcoWayTooDank quqcoWayTooDank quqcoWayTooDank
uncommon__man,#jinnytty,6OLO
mrelementdj,#jinnytty,GTA WOWERS
thrn247,#jinnytty,JUMP ON IT
ahungrybear20,#loltyler1,LETS GO T1 SPEEDRUN TO DIAMOND
clash_y,#jinnytty,"throw us, we have nothing to live for!"
tommo_______,#loltyler1,it's just losers queue.. seen it so many times.. until you can break the loss streak it will keep matching you with clowns on tilt
yoi_97,#jinnytty,yyjPogo
ronzert,#jinnytty,guess its just dirty
kairnazzx007,#jinnytty,stopppppp
f0oman,#jinnytty,jump jimbo
blackmarketzyra,#loltyler1,hi im kindred i live in a trash can peepoWtf
griffisz,#jinnytty,Jump YUMPIES
kan3k13,#jinnytty,cracking sound intensifies
beepls,#jinnytty,pepeMeltdown
yunghummer,#jinnytty,dizzyBarf
placid_omega,#jinnytty,I’m scared of women
steveyoung77,#jinnytty,jinnyPls
sinclair_bear,#jinnytty,YUMPIES
superbabiman,#jinnytty,HOLD ME monkaW
c4ptron,#jinnytty,scirlSVLLight1
battleaxebob,#loltyler1,kindred popping off PauseChamp
happyfluffyteddy,#jinnytty,jump YUMPIES
gundam2001a,#jinnytty,i feel weezy
issa0rama,#jinnytty,YOO MY FFEEET ITCHING
arkem232,#jinnytty,YUMPIES
mythicarl03,#jinnytty,where not there
malaysiandurianvendor,#jinnytty,Crack
r1thz,#jinnytty,LOOK AT THOSE MINIATURE CARS HYPERS
zay_ih,#jinnytty,YUMPIES  󠀀
meiuuumi,#loltyler1,just come back home big T Sadge na numba 1
trick2dog,#loltyler1,BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother D1 is T1's true home BigBrother
iztheone,#jinnytty,just lights that's all
tyler1__play__pentakill,#loltyler1,chat wtf Copeler1
airwolf_swe,#jinnytty,YUMPIES
sinclair_bear,#jinnytty,YUMPIES 󠀀
vernether,#loltyler1,viktor Gigachad
sandirap,#jinnytty,cracking sandirSmonkaS
sparta6573,#jinnytty,YUMPIES
griffisz,#jinnytty,Jump YUMPIES Jump YUMPIES Jump YUMPIES
professionalko,#jinnytty,I heard the cracking
3p1c_jinjin,#loltyler1,PauseChamp
shaun777666,#jinnytty,end stream end stream
jcsmitty22,#loltyler1,why doesnt he just draven/pyke/karma his way to grandmaster???
malaysiandurianvendor,#jinnytty,Drop us
allexxx1996,#jinnytty,i'm never scared GIGACHAD
painkillvh,#loltyler1,!rank
happyfluffyteddy,#jinnytty,jump YUMPIES
fossabot,#loltyler1,"@painkillvh, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
nickcartman,#jinnytty,widepeepoSad nooo
crizee,#loltyler1,10 straight losses KEKW
rakhox,#jinnytty,F Crystal Kappa
kidocat,#jinnytty,Nope!
vincentt23,#jinnytty,monkaW 󠀀
dam________,#jinnytty,YUMPIES do it YUMPIES
riegnar,#loltyler1,cannon secured
sodragon,#jinnytty,The glasses should be fine monkaW
thegreat0ld0nes,#jinnytty,it just a big LCD not depth of field
yoi_97,#jinnytty,yyjPogo pls
isaud___,#jinnytty,NotLikeThis NotLikeThis
alex1022x,#loltyler1,!rank
leongj680,#jinnytty,monkaS
dextv_,#jinnytty,KEKWiggle
david_44b,#jinnytty,jump
yixsus1721,#loltyler1,JG'NT
dackelqwackel_,#jinnytty,sadKEK goodbye cruel world
dimbre,#jinnytty,YUMPIES 󠀀
sleepmap,#jinnytty,PogO
dmitrevicz,#jinnytty,i'd yump YEP
lamesnuberton,#loltyler1,Viktor KEKW
ayzrain,#jinnytty,YUMPIES
sonicresonance777,#jinnytty,danglerLetsgo danglerMajorhype
memestreets,#jinnytty,monkaW 👍  not scared
bababooian,#jinnytty,No
tairadono,#jinnytty,u dont
jingxiong1993,#jinnytty,I heard last year someone fell to her death here
allexxx1996,#jinnytty,i'm  never scared GIGACHAD
spaman42,#loltyler1,FF
dannylxl,#loltyler1,Copeler1
maris192,#jinnytty,YUMPIES
luckypoggerwealthygenius,#jinnytty,Oof don’t fall
jdc009,#loltyler1,randuin's Kreygasm omen
rayenkhlifi3,#jinnytty,YUMPIES
sketch_242,#jinnytty,YUMPIES
happyfluffyteddy,#jinnytty,jump YUMPIES
rxbko,#loltyler1,pepeLaugh
malaysiandurianvendor,#jinnytty,Drop us now?
scrat_the_god,#loltyler1,CANT LOSE
tyler1__play__pentakill,#loltyler1,"Copeler1 pause, champ"
tyrine,#loltyler1,Copege
biugeri,#loltyler1,hahaha
peter_hexen,#jinnytty,I want to jump and reach the safety of the ground 4WeirdW
zomboden,#loltyler1,Copeler1
mikahil89,#loltyler1,Copeler1
tiltedsteezy,#loltyler1,KEKW
awol_nation,#loltyler1,nope
aminur9963,#loltyler1,HE AN CARRY XD
ahungrybear20,#loltyler1,!op.gg
avdolmtg,#jinnytty,xqcCheer JUMP xqcCheer JUMP xqcCheer JUMP xqcCheer JUMP xqcCheer JUMP
stockmarketsftw,#jinnytty,Hmm
airwolf_swe,#jinnytty,PepeLaugh
nerfy39,#jinnytty,YUMPIES
vasiflesskedi,#loltyler1,Copeler1 OVRDS
filation,#loltyler1,Copeler1
naz94x,#jinnytty,Kappa
ovetstevo339,#loltyler1,Copeler1
rhizwynd,#loltyler1,diamond 1 today Pog
cheese1941,#loltyler1,Copeler1
hiimrift,#loltyler1,Copeler1
yabadabadane,#loltyler1,holy fuck he went from 300 lp to 100
mrelementdj,#jinnytty,peepoClap
victorion,#jinnytty,yyjPogo
bigbankhead,#jinnytty,damn yeah jump rope on this
alanian123,#loltyler1,Kappa
fossabot,#loltyler1,@aHungryBear20 https://www.op.gg/summoners/kr/BIG%20TONKA%20T
buzina_do_chacrinha,#jinnytty,safe for 54.2 kg
wkgi,#loltyler1,@jithong u think he will get banned kindred ?
longpotatt,#jinnytty,GIGAJINNY
ryanalwayswins,#loltyler1,mega pint shield SMOrc
beeguydc,#jinnytty,why mask
luckschmuck,#loltyler1,1/12 kindred powerspike monkaW
biugeri,#loltyler1,nice to shot
skysage,#jinnytty,YEP
heisenberg1121,#jinnytty,you dont
boobyoobyooby,#loltyler1,POGGERS HE CAN CARRY!!!
thefirstsnowflake,#jinnytty,Clueless
tabasc0sauce,#loltyler1,sad that this was the most winnable game yet KEKW
noxzeal,#loltyler1,Copeler1
hugo____balls,#jinnytty,YUMPIES YUMPIES YUMPIES
skyraelm,#jinnytty,YUMPIES
moosebreeder_,#loltyler1,4Head
biugeri,#loltyler1,kld
almot200,#jinnytty,True this
orangedeity,#loltyler1,mom go sky KEKW
abdo_227,#loltyler1,Copeler1
vgvirt,#jinnytty,PepeLaugh
nick26u,#jinnytty,just dont jump 4Head
jondoni,#jinnytty,ye you upgraded
whatisthiszz,#jinnytty,PepeLaugh
vibin1nthevoid,#jinnytty,GIGAJINNY
mcj203twitch,#loltyler1,Must have pissed someone at rito off to get these teammates
david_44b,#jinnytty,Kappa
dead_teeth,#jinnytty,YUMPIES
m1rexz,#loltyler1,@jcsmitty22 cuz with draven/pyke/karma he is 1-9 today
cozdis,#loltyler1,Frostfire orn urgot?
elegs,#jinnytty,I don't have fear of height NODDERS
trick2dog,#loltyler1,KEKW
wittleplushy,#loltyler1,KEKW
kirbymain4th,#jinnytty,DROP CHET
kubelet,#jinnytty,NOPERS
dextv_,#jinnytty,KEKInsane
skysage,#jinnytty,GIGAJINNY
slayed100,#loltyler1,!rank
badgamingsetup,#loltyler1,Sadge I carry I guess
griffisz,#jinnytty,Passed out while bungee jumping KEKInsane
yvan_nix,#jinnytty,U are Brave :)
existenceofenigmas,#jinnytty,SeemsGood
kipseu,#jinnytty,yayInternetJanitors
sodragon,#jinnytty,LUL
fossabot,#loltyler1,"@slayed100, ACCOUNTS: BIG TONKA T is currently Master I 94 LP"
lebryantjordan,#jinnytty,yeah you seem fine
zero__horizon,#jinnytty,maybe
aahniky,#jinnytty,yep
sinclair_bear,#jinnytty,NODDERS  your braver then me with heights and amustment parks
arkem232,#jinnytty,"ok, bungee again then"
uncommon__man,#jinnytty,lYOLO
maris192,#jinnytty,Kappa
yj10,#jinnytty,PepeLaugh
scottswan1,#jinnytty,fear of falling
superpooper,#jinnytty,Kapp
mokshamukti,#loltyler1,KINDRED RalpherZ RalpherZ RalpherZ RalpherZ RalpherZ RalpherZ
orangeboy25,#jinnytty,u losting fear
ronzert,#jinnytty,I don't think you do LUL
mrelementdj,#jinnytty,peepoClap leveled up
happyfluffyteddy,#jinnytty,jump YUMPIES
jdiizl,#jinnytty,you dont 100%
hugo____balls,#jinnytty,GIGAJINNY
thordouble,#jinnytty,hehe
longpotatt,#jinnytty,GIGAJINNY height?
limitedbrains,#loltyler1,irelia monkaSTEER
leonfighter65,#jinnytty,ur alone why mask
revonn_l,#jinnytty,Don't Drop Us
nikzack13,#jinnytty,hehe
rays88888,#jinnytty,walk the whole glass
cocoacake5,#jinnytty,yolo
voidheart2,#loltyler1,YOUR TEAM IS BAD FLAME THEM BigBrother 4/13 Kindred KEKW
shayuki,#loltyler1,EZ
mohiko21,#jinnytty,GIGAJINNY
jetjelly,#jinnytty,mild? Hmm
d_superman,#jinnytty,Kappa
wijayaprat30,#jinnytty,YUMPIES
tonyseah007,#jinnytty,yyjJoy yyjJoy yyjJoy
nasrulashr,#jinnytty,GIGAJINNY
the_vicvaporu,#jinnytty,yyjWiggle
tairadono,#jinnytty,u dont have any
aveguytx,#jinnytty,wait until you feel wind outside
icybeard,#loltyler1,Copeler1 I CAN CARRY Copeler1
sir_rexis,#loltyler1,Copeler1
almot200,#jinnytty,You fought it
eagleclaw81,#jinnytty,we will see tomorrow
jondoni,#jinnytty,over came it
jimmykp,#loltyler1,can carry PepoCheer
jackp85,#jinnytty,if you fall it wouldnt hurt
fatemissclicks,#jinnytty,GIGAJinny
jithong,#loltyler1,@wkgi prob not. he's been this way for a few weeks with no ban
heisenberg1121,#jinnytty,YEP
airwolf_swe,#jinnytty,NOPERS
nickcartman,#jinnytty,you would be shaking
pedrossm,#jinnytty,not me
cocoacake5,#jinnytty,#yolo
thrn247,#jinnytty,SuperVinlin
tada46,#jinnytty,dont wear sandles over the mirror
zumokook,#jinnytty,Pog gogo
sketch_242,#jinnytty,"i can't climb a ladder, but i could do this 4Shrug"
jdiizl,#jinnytty,that shit is scary asf
happyfluffyteddy,#jinnytty,jump YUMPIES
massh0lian,#jinnytty,you still have trouble with the rope courses
existenceofenigmas,#jinnytty,yea
ronzert,#jinnytty,someoen who was that afraid wouldn't do this shit
mr__rui,#loltyler1,okay Pog
peter_hexen,#jinnytty,pepeMeltdown
neme5is944,#jinnytty,fear of landing LUL
jugking_314,#loltyler1,!rank
fossabot,#loltyler1,"@jugking_314, ACCOUNTS: BIG TONKA T is currently Master I 94 LP"
thesupremeruler21,#loltyler1,!rank
melodfps,#jinnytty,?
naz94x,#jinnytty,ok Kappa
dackelqwackel_,#jinnytty,is that why you re so small? 4Head
tairadono,#jinnytty,u will
chadwickincoming,#loltyler1,Lol stop saying kindred power spike he is so fucking bad
simoncx,#jinnytty,No you don’t. You did well at mega adventure too
just_in_town,#jinnytty,It's normal
inoczin,#jinnytty,NOPERS
chrisb160583,#jinnytty,if you had vertigo you'd know it
justinian7,#jinnytty,we'll see next time you do zipline
kcin_point,#jinnytty,cut to tomorrow she's crying from doing the Gravitaz
2ez4me2reckyu,#loltyler1,!rank
sodragon,#jinnytty,You can NODDERS
fossabot,#loltyler1,"@2ez4me2reckyu, ACCOUNTS: BIG TONKA T is currently Master I 94 LP"
imsanity_,#jinnytty,GIGAJINNY
mrelementdj,#jinnytty,WADDLE
zenero11,#jinnytty,Ask for a parachute. ^^
limitedbrains,#loltyler1,!
fatemissclicks,#jinnytty,GIGAJINNY
kiioa,#jinnytty,monkaW
mohiko21,#jinnytty,monkaW
orangedeity,#loltyler1,???
cipansr,#loltyler1,OMEGALUL
yvan_nix,#jinnytty,I never did it  :) and will never
baka131313,#loltyler1,POG
sam_ggx02,#jinnytty,peepoS  󠀀
beeguydc,#jinnytty,no one there why mask?
lloyds128,#jinnytty,😃👍
ronzert,#jinnytty,take shoes off and clothes then weigh YEP
tough_guy__69,#loltyler1,did nothing and now taxing
muzdiema,#jinnytty,DONT AMBER HEARDING
somesteakslol,#loltyler1,8 losses KEKW
tkxkd123,#jinnytty,ㅎㅎ yyjL
jesse_000,#loltyler1,SANEST JUNGLE KEKW
yvan_nix,#jinnytty,I bet 1 kg YEP
longpotatt,#jinnytty,KEKWalk
kipseu,#jinnytty,GTA IRL PT 2 PepeLaugh
zeustype2,#jinnytty,found phone
yoi_97,#jinnytty,bag?
cheese_n_onion,#jinnytty,DansGame
dwagyn,#loltyler1,did he miss a mark?
dupalupo,#loltyler1,TAX FOR DOING NOTHING EZ
valakino,#loltyler1,monkaW
dead_teeth,#jinnytty,peepoPopcorn
cipansr,#loltyler1,KEKW
skysage,#jinnytty,yyjPoo
howsthewine,#loltyler1,EZ Tax
migssj,#loltyler1,@loltyler1 yo dude why your pitch so high in your unbanned stream dafuck
weijibeng,#loltyler1,WeirdChamping
roidrage9999,#loltyler1,SPAM PING HIM TO EVOKE SOME EMOTIONS BigBrother
fatemissclicks,#jinnytty,go shave head
ryanalwayswins,#loltyler1,he needs the xp LUL
ribbirobbo,#jinnytty,119lbs
allexxx1996,#jinnytty,4kg hair KEKBoom
gachigasm_windchime,#loltyler1,sharing xp KEKW
6lackieeee,#loltyler1,TAX
poseidon17_,#loltyler1,!rank
pepegatje,#loltyler1,Korean Master = EU plat
selhistoireduntype,#loltyler1,:tf:
yakitorii87,#jinnytty,Shave head and prove it YEP
ruei0308,#jinnytty,Yay of course your hair heavy LUL LUL <3 <3
spaman42,#loltyler1,KEKW
fossabot,#loltyler1,"@Poseidon17_, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
jasonk26,#loltyler1,teach him a lesson BigBrother
jovanbekas84,#loltyler1,DONT PING ME KID BigBrother DONT PING ME KID BigBrother DONT PING ME KID BigBrother DONT PING ME KID BigBrother DONT PING ME KID BigBrother
karamjanager,#loltyler1,leTroll we do a lil bit of taxin
vgvirt,#jinnytty,top view
b33day,#jinnytty,GO SHIT AND TRY AGANE KEKW
gizimoo86,#jinnytty,HUH
mfkrtoblank,#jinnytty,shave ALL your hair
yus1785,#loltyler1,teach him the lesson BigBrother
happyfluffyteddy,#jinnytty,test it by shaving head
gunerjay,#jinnytty,LULW 3kg Shit
rlagusgh1415,#loltyler1,JG TAX
hoiman8,#jinnytty,GIGAJINNY I’m just swole chet
lepz_,#jinnytty,BibleThump BibleThump
2211,#loltyler1,!opgg
bill_conagher,#loltyler1,have y considered uhm
fossabot,#loltyler1,@2211 https://www.op.gg/summoners/kr/BIG%20TONKA%20T
heracieslol,#loltyler1,4Head
allexxx1996,#jinnytty,4kg  hair KEKBoom
seeyli,#loltyler1,mother of tax
eagleclaw81,#jinnytty,shave the armpits
skysage,#jinnytty,yyjFat
nasrulashr,#jinnytty,ye
slizzyly,#jinnytty,shave head
xeminence,#jinnytty,jinny is full of shit KEKW
jondoni,#jinnytty,doctors check u was 54k so its same
enigmaxw0rstenemy,#loltyler1,that was amazing to watch
mj136723,#loltyler1,!rk
crookedghost_,#loltyler1,LOSER
nightbot,#loltyler1,Facebook: goo.gl/qXAuJY Twitter: twitter.com/lol_tyler1 YouTube Channel: youtube.com/tyler1lol Website: loltyler1.com and don't forget to follow the stream!
existenceofenigmas,#jinnytty,ye
musicmanx,#jinnytty,POOP Gain
ashbash159,#jinnytty,right
nice_guys_finish_last_,#loltyler1,LULW
kipseu,#jinnytty,YEP
itsluwox,#loltyler1,MingLee
softlesbiankisses,#jinnytty,YEP
mason_iw,#loltyler1,run it to teach him BigBrother
dam________,#jinnytty,yyjFat
senkous,#loltyler1,taxes so high nowdays
spaman42,#loltyler1,KR JG KEKW
rangedd,#loltyler1,he didn't tax gold at least
jetjelly,#jinnytty,YEP
r1se_2k,#jinnytty,YEP
renebaebaeeeee,#jinnytty,dont forget the phone jinny
existenceofenigmas,#jinnytty,yea*
tidoubleu,#jinnytty,yyjFat Snackies
mesh_17,#jinnytty,yyjFat
azyanix,#loltyler1,FOCUS UP BIG T GET THIS WIN BigBrother BigBrother BigBrother BigBrother
endobesity,#loltyler1,!time
alagangdowny,#jinnytty,sunday night where the people at
happyfluffyteddy,#jinnytty,test it by shaving head
f0oman,#jinnytty,eaten them all?
fossabot,#loltyler1,"@endobesity, Tyler's local time is: Sunday, May 22, 2022 9:40 PM"
evilhenchman,#jinnytty,yyjFat
max1cs,#jinnytty,penang ICANT
metalicc_,#loltyler1,@CrookedGhost_ why
skysage,#jinnytty,KEKW
aahniky,#jinnytty,yyjYEP
auraxed,#jinnytty,yyjFat
dio_sparda,#jinnytty,YEP
darkexile1,#jinnytty,yyjFat
5734l3r,#loltyler1,"DOES NOTHING, STILL TAXES Gigachad"
dmy818,#jinnytty,yyjFat
yoi_97,#jinnytty,She left them
sodragon,#jinnytty,LUL
running22,#jinnytty,fat hair
dam________,#jinnytty,YEP
jumpingcloud,#jinnytty,yyjBald -2kg
tuszynq,#loltyler1,DOPA DOWN
dwoskeezy,#loltyler1,!rank
mddu8,#loltyler1,LULW
fossabot,#loltyler1,"@Dwoskeezy, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
strawhatchase,#jinnytty,
zay_ih,#jinnytty,yyjPopcorn
skysage,#jinnytty,yyjFat
thadoril,#jinnytty,yyjBald shave your head
dead_teeth,#jinnytty,yyjFat
unclerudy,#jinnytty,yep
kipseu,#jinnytty,KEKBoom
haruiswaifu,#jinnytty,yyjFat
pizzadawgdk,#loltyler1,Pog
asurite,#loltyler1,Whiteklnight of T1 so mad right now PepeLaugh
yvan_nix,#jinnytty,LULW
auraxed,#jinnytty,yyjFat +2 kg
zeustype2,#jinnytty,snacks was it
ronzert,#jinnytty,bit of extra meat is fineee yyjFat
metalicc_,#loltyler1,@CrookedGhost_ why say that
mj136723,#loltyler1,!rank
softlesbiankisses,#jinnytty,KEKHeim
peepopopcorn,#jinnytty,yyjFat
hoiman8,#jinnytty,yyjBald
vgvirt,#jinnytty,yyjFat
dropkings9,#jinnytty,YEP
itsluwox,#loltyler1,????
baaatchest55,#loltyler1,MASTER KR NA CHALL PogYou
shotaroshu,#jinnytty,lol
sfshion111,#jinnytty,KEKL
longpotatt,#jinnytty,peepoTalk
yamatorii,#loltyler1,GG
rambo7337,#jinnytty,hahaha
subarashiiagnello,#loltyler1,KR taxes
hennygraith,#jinnytty,KEKW
jimmyjammer73,#jinnytty,Copege
r1se_2k,#jinnytty,VeryPog
slizzyly,#jinnytty,rainbow skywalk
vurderlak,#loltyler1,KEKW
zay_ih,#jinnytty,yyjFat
pocketsharks,#loltyler1,Gigachad
gamerway100,#loltyler1,@imls NO ONE ASKED
existenceofenigmas,#jinnytty,SeemsGood yyjCozy
metalicc_,#loltyler1,@CrookedGhost_ nerd
almot200,#jinnytty,"Shave head ,take shit to lose weight noted"
yoi_97,#jinnytty,yyjFat
heisenberg1121,#jinnytty,yyjTasty
vibin1nthevoid,#jinnytty,YEP
jesse_000,#loltyler1,OMEGALUL Clap
peepopopcorn,#jinnytty,yyjFat 󠀀
tokonelly,#jinnytty,5Head
feeisweirdm4n,#loltyler1,KEKW
naz94x,#jinnytty,shave head. EZ -2kg YEP
vasiflesskedi,#loltyler1,nvm KEKW
honeyiune,#jinnytty,yyjFat
yakitorii87,#jinnytty,Shave head and prove it yyjBald
tuszynq,#loltyler1,DOPA DOOOOWN
kaisensiru,#jinnytty,anniesOpie
happyfluffyteddy,#jinnytty,it won';t
flox_,#loltyler1,KEKW
josephjkr,#loltyler1,15
brokencable,#jinnytty,yyjFat
xamu_s,#jinnytty,yyjFat
nasrulashr,#jinnytty,
baocwolefashoo,#jinnytty,true story
dextv_,#jinnytty,yyjFat
justeetuu,#jinnytty,Jinny if u take out ur liver you will lose 1.5 to 1.7 kg
lloyds128,#jinnytty,yes
haruiswaifu,#jinnytty,yyjFat 󠀀
jetjelly,#jinnytty,Hmm
feeisweirdm4n,#loltyler1,KEKW FIESTA
walkerknight12,#loltyler1,BigBrother
mesh_17,#jinnytty,Copege
justinian7,#jinnytty,yyjFat
yamatorii,#loltyler1,FF
rangzzz,#jinnytty,clinksTakeaway
dignodeserhumano,#loltyler1,sup sup pelaito EHEHE 💤
ilcontadinotedesco,#jinnytty,5Head surely
arkem232,#jinnytty,Didn’t share? Kappa
paink200,#loltyler1,KEKW
sicrano77,#jinnytty,yyjFat snacks
allexxx1996,#jinnytty,yyjPopcorn
r1thz,#jinnytty,PENANG SNIPER SNACKS? modChecks
fatboyferris,#jinnytty,The last time I weighed 54kg was when I was born. 😂
selhistoireduntype,#loltyler1,ff KEKW
tuszynq,#loltyler1,KEKW
ekck84,#jinnytty,the truth
montanaburnedfish,#jinnytty,salty snacks make you gain weight too or salty foods
mj136723,#loltyler1,!rk
